Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,QuyMo,ViDo,KinhDo,LoaiTin,Quan,Price_per_m2
1500000000.0,56.8,2,2,Đông-Nam,Tây-Bắc,Bàn giao nội thất cao cấp cơ bản.,Công ty TNHH MTV đầu tư Phương Đông,"03 tầng hầm, 4 block căn hộ cao từ 24 – 27 tầng",20.9605541229248,105.845962524414,Tin Vip đặc biệt,Hoàng Mai,26408450.704225354
3500000000.0,92.0,3,2,Tây-Nam,Đông-Bắc,Nội thất liền tường,HD Mon Holdings,891 căn hộ,21.029411315918,105.768753051758,Tin Vip đặc biệt,Nam Từ Liêm,38043478.26086956
2400000000.0,55.0,2,2,Tây-Nam,Đông-Bắc,0,Tập đoàn Vingroup,Gồm: 6 tòa,21.002666473388697,105.8154296875,Tin Vip đặc biệt,Thanh Xuân,43636363.63636363
1500000000.0,55.0,2,1,Tây-Nam,Đông-Bắc,0,Tập đoàn Vingroup,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,Tin Vip đặc biệt,Nam Từ Liêm,27272727.272727273
2900000000.0,79.0,2,2,Đông-Bắc,Tây-Nam,"Cơ bản Căn hộ đã hoàn thiện nội thất cơ bản bao gồm: - Cửa chống cháy, khóa cửa Hafele đa chức năng. - Sàn đã cao cấp phòng khách, sàn gỗ phòng ngủ. - Hệ thống cửa kính an toàn Euro Window cách âm cực",Công ty CP tập đoàn S.S.G,"Gồm khách sạn, văn phòng, căn hộ",21.012432098388697,105.76739501953101,Tin Vip đặc biệt,Nam Từ Liêm,36708860.75949367
7500000000.0,119.0,3,2,Tây-Bắc,Đông-Nam,0,Tập đoàn Sun Group,"Gồm 2 tòa S1 (21 tầng nổi và 4 tầng hầm) và S2 ( 23 tầng nổi, 5 tầng hầm)",21.04117202758789,105.825096130371,Tin Vip đặc biệt,Tây Hồ,63025210.084033616
3300000000.0,88.0,2,2,Tây-Bắc,Đông-Nam,"Full nội thất nhập khẩu, xách vali về ở ngay.",Tập đoàn Vingroup,Gồm: 6 tòa,21.002666473388697,105.8154296875,Tin Vip đặc biệt,Thanh Xuân,37500000.0
2000000000.0,74.55,2,2,Tây-Bắc,Đông-Nam,0,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt,Bắc Từ Liêm,26827632.46143528
1575000000.0,59.1,2,1,Tây-Bắc,Đông-Nam,"Bàn giao đầy đủ nội thất gồm: - Trần thạch cao - Hệ thống đèn chiếu sáng - Hệ thống cửa nhà với khóa mã số - Chuông hình - Sàn gỗ phòng ngủ, sàn gạch phòng khách - Thiết bị vệ sinh - Điều hòa.",0,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip đặc biệt,Gia Lâm,26649746.1928934
1200000000.0,43.0,1,1,Tây-Bắc,Đông-Nam,0,0,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip đặc biệt,Gia Lâm,27906976.744186047
