,Diện tích,Số phòng ngủ,Số toilet,Chủ đầu tư,Vĩ độ,Kinh độ,Nội thất,Actual,Predicted
143,93.0,2.0,2.0,1.0,21.0004196166992,105.803436279297,0.0,2750000000.0,2982595217.5
144,111.0,3.0,2.0,111.0,21.0403366088867,105.76758575439501,0.0,2850000000.0,3761913929.5
145,86.0,2.0,2.0,1.0,20.990182876586896,105.86865997314501,1.0,2300000000.0,2706878601.5
146,93.0,2.0,2.0,19.0,21.0360012054443,105.78246307372999,1.0,4400000000.0,3478185733.5
147,122.0,3.0,2.0,6.0,21.063035964965803,105.79541778564501,1.0,5500000000.0,3802528165.5
148,63.0,2.0,2.0,83.0,21.0626907348633,105.90833282470699,1.0,1900000000.0,1924311385.5
149,78.0,3.0,2.0,69.0,21.0443172454834,105.877861022949,1.0,2600000000.0,2534507833.5
150,110.0,3.0,2.0,16.0,20.985431671142603,105.839340209961,1.0,2900000000.0,3792354793.5
151,169.0,4.0,3.0,111.0,21.0403366088867,105.76758575439501,1.0,4619000000.0,5850215037.5
152,71.0,2.0,2.0,1.0,20.9860000610352,105.812187194824,1.0,2200000000.0,2132159261.5
153,80.0,2.0,2.0,734.0,21.0317993164063,105.814193725586,0.0,5000000000.0,5284560949.5
154,70.0,2.0,1.0,2.0,21.041240692138697,105.807846069336,0.0,2650000000.0,2428706569.5
155,115.0,3.0,2.0,734.0,21.002666473388697,105.8154296875,1.0,5900000000.0,5255346141.5
156,92.0,3.0,2.0,1.0,21.0409755706787,105.91366577148399,1.0,2200000000.0,2635213821.5
157,56.0,2.0,2.0,44.0,20.9732913970947,105.82000732421899,0.0,1150000000.0,1659993085.5
158,95.0,3.0,2.0,34.0,21.0371532440186,105.786338806152,0.0,3700000000.0,3303419529.5
159,60.0,2.0,2.0,22.0,21.0141487121582,105.78872680664101,0.0,1570000000.0,2027595285.5
160,30.0,2.0,2.0,1.0,21.018026000000006,105.839072,0.0,450000000.0,750796521.5
161,100.0,3.0,2.0,54.0,20.9972763061523,105.80298614502001,1.0,3550000000.0,3277720753.5
162,102.8,3.0,3.0,59.0,20.9760246276855,105.761596679688,1.0,1950000000.0,1765255861.5
163,86.0,3.0,2.0,22.0,21.035120010376,105.767433166504,1.0,2900000000.0,2944945125.5
164,83.0,3.0,2.0,69.0,21.0381129623825,105.907895565033,1.0,2060000000.0,2314898493.5
165,46.0,2.0,1.0,1.0,21.0713761,105.7943322,1.0,650000000.0,1283913857.5
166,122.0,3.0,2.0,734.0,20.994333267211896,105.86756134033199,1.0,5500000000.0,4690491905.5
167,81.0,2.0,2.0,5.0,21.000291824340803,105.81600952148399,0.0,4500000000.0,2701086841.5
168,101.0,3.0,2.0,123.0,20.962467193603498,105.79236602783199,1.0,1600000000.0,1765026717.5
169,98.0,3.0,2.0,54.0,20.9972763061523,105.80298614502001,0.0,3900000000.0,3336631265.5
170,94.52,3.0,2.0,9.0,21.065502166748,105.88831329345699,0.0,1950000000.0,3078267617.5
171,64.0,2.0,2.0,123.0,20.962467193603498,105.79236602783199,0.0,1150000000.0,1377282985.5
172,82.5,2.0,2.0,9.0,21.0020389556885,105.80166625976601,0.0,2400000000.0,2694042725.5
173,110.0,3.0,2.0,8.0,21.055467605590803,105.795883178711,1.0,6150000000.0,3703128333.5
174,45.0,2.0,1.0,1.0,21.0100005,105.84624540000002,1.0,650000000.0,807417409.5
175,90.0,3.0,2.0,16.0,21.0096874237061,105.72159576416,1.0,1460000000.0,2027053969.5
176,65.0,2.0,2.0,20.0,21.0304050445557,105.777030944824,1.0,1900000000.0,2246377129.5
177,216.0,4.0,3.0,734.0,21.0461521148682,105.915649414063,1.0,9000000000.0,12963707801.5
178,74.0,2.0,2.0,734.0,21.0190830230713,105.78173065185499,1.0,2700000000.0,3224491713.5
179,73.0,2.0,2.0,1.0,20.9947719573975,105.80612945556601,0.0,2300000000.0,2302120005.5
180,90.0,3.0,2.0,1.0,20.9947719573975,105.80612945556601,1.0,2900000000.0,2883300241.5
181,106.0,2.0,2.0,21.0,21.014173507690398,105.77587127685499,0.0,4700000000.0,3255931729.5
182,121.0,3.0,2.0,1.0,21.047119140625,105.78136444091801,0.0,3300000000.0,3603946297.5
183,139.0,4.0,3.0,111.0,21.0403366088867,105.76758575439501,1.0,4500000000.0,4796950517.5
184,88.0,2.0,2.0,1.0,20.9860000610352,105.812187194824,1.0,2600000000.0,2743878145.5
185,45.0,2.0,1.0,123.0,20.963314056396502,105.82673645019501,1.0,900000000.0,624570285.5
186,81.9,3.0,2.0,93.0,20.9830436706543,105.757339477539,1.0,2390000000.0,1742014885.5
187,98.0,2.0,2.0,1.0,21.0555477142334,105.80859375,1.0,4800000000.0,3672753873.5
188,73.0,2.0,2.0,59.0,20.9760246276855,105.761596679688,0.0,1400000000.0,1405730473.5
189,112.0,3.0,2.0,17.0,20.973667144775398,105.75871276855499,1.0,2610000000.0,1630308373.5
190,83.0,2.0,2.0,111.0,21.0403366088867,105.76758575439501,0.0,2350000000.0,3171906341.5
191,100.0,2.0,2.0,65.0,21.0116748809814,105.86267852783199,0.0,5300000000.0,4001558673.5
192,53.9,2.0,1.0,69.0,21.0295810699463,105.850410461426,1.0,1500000000.0,1360842953.5
193,72.0,2.0,2.0,734.0,21.0197982788086,105.780708312988,1.0,2800000000.0,3144388781.5
194,146.0,3.0,2.0,178.0,21.064899444580103,105.827049255371,0.0,6580000000.0,9485775157.5
195,70.0,2.0,2.0,15.0,20.9521503448486,105.785385131836,1.0,850000000.0,1139897373.5
196,65.1,2.0,2.0,1.0,20.97499894267648,105.82363000970841,1.0,1120000000.0,1784321461.5
197,119.0,3.0,2.0,734.0,20.9947910308838,105.86784362792999,1.0,3950000000.0,4628006753.5
198,96.0,3.0,2.0,21.0,21.002698898315398,105.792427062988,1.0,3350000000.0,3126122737.5
199,112.5,3.0,2.0,144.0,21.0919170379639,105.78500366210899,0.0,3800000000.0,4007731641.5
200,72.0,2.0,2.0,178.0,21.0058059692383,105.79437255859399,1.0,2888000000.0,2659905717.5
201,88.9,3.0,2.0,78.0,21.081007003784197,105.81809234619101,1.0,3700000000.0,3508206813.5
202,112.0,3.0,2.0,7.0,21.035104751586896,105.76554107666,1.0,3200000000.0,3188211509.5
203,85.0,3.0,2.0,1.0,20.9939002990723,105.76019287109399,1.0,1530000000.0,2424178521.5
204,104.0,3.0,2.0,25.0,21.012432098388697,105.76739501953101,1.0,3800000000.0,3042616941.5
205,43.0,2.0,1.0,1.0,21.031399,105.7883883,1.0,700000000.0,1378625305.5
206,120.0,3.0,2.0,67.0,21.072135925293,105.810997009277,0.0,4100000000.0,4818157005.5
207,87.0,2.0,2.0,69.0,21.0443172454834,105.877861022949,0.0,2400000000.0,3513110265.5
208,132.0,3.0,3.0,734.0,21.002666473388697,105.8154296875,1.0,5850000000.0,5736743385.5
209,86.0,3.0,2.0,1.0,21.0646114349365,105.911117553711,1.0,2200000000.0,2301772993.5
210,84.0,2.0,2.0,1.0,20.9976119995117,105.809326171875,0.0,2250000000.0,2697651601.5
211,118.0,3.0,2.0,12.0,21.0119361877441,105.77499389648399,1.0,3400000000.0,3490342757.5
212,139.0,4.0,2.0,111.0,21.0403366088867,105.76758575439501,0.0,4149000000.0,3365149777.5
213,70.0,2.0,2.0,34.0,21.0371532440186,105.786338806152,1.0,3000000000.0,2556512917.5
214,96.56,3.0,2.0,51.0,20.9962978363037,105.805633544922,0.0,2850000000.0,3284658761.5
215,64.0,2.0,2.0,21.0,20.9981651306152,105.80150604247999,0.0,2750000000.0,2077034429.5
216,234.0,4.0,4.0,178.0,21.064899444580103,105.827049255371,0.0,16800000000.0,17751455149.5
217,80.0,3.0,2.0,1.0,20.9947719573975,105.80612945556601,0.0,2600000000.0,2554945873.5
218,115.0,3.0,2.0,54.0,20.9972763061523,105.80298614502001,0.0,3900000000.0,4031855429.5
219,70.0,2.0,2.0,2.0,21.0354385375977,105.814140319824,0.0,3950000000.0,2408592737.5
220,99.0,3.0,2.0,67.0,21.072135925293,105.810997009277,1.0,3600000000.0,3770857077.5
221,65.0,2.0,2.0,123.0,20.962467193603498,105.79236602783199,0.0,960000000.0,1378012765.5
222,42.0,1.0,1.0,734.0,21.0065288543701,105.753555297852,1.0,1100000000.0,695395485.5
223,86.0,2.0,2.0,93.0,20.983570098877,105.772262573242,0.0,1200000000.0,1899225157.5
224,115.0,3.0,2.0,3.0,20.996280670165998,105.793251037598,0.0,2700000000.0,3615604873.5
225,94.3,2.0,2.0,734.0,20.9947910308838,105.86784362792999,1.0,3400000000.0,3115598581.5
226,60.49,1.0,2.0,1.0,20.9673748016357,105.754013061523,0.0,2600000000.0,452074617.5
227,69.0,2.0,2.0,1.0,20.9561653137207,105.843521118164,1.0,1550000000.0,1728770973.5
228,68.0,3.0,2.0,1.0,21.0798377990723,105.78685760497999,0.0,1665000000.0,2132405661.5
229,71.0,2.0,2.0,32.0,21.0209789276123,105.791061401367,0.0,2700000000.0,2495935517.5
230,59.0,2.0,1.0,69.0,21.0443172454834,105.877861022949,1.0,2000000000.0,1541175613.5
231,61.0,2.0,2.0,2.0,20.986049652099602,105.798133850098,1.0,1900000000.0,1698174985.5
232,99.81,3.0,2.0,78.0,21.081007003784197,105.81809234619101,1.0,3600000000.0,3800386585.5
233,61.6,2.0,2.0,45.0,20.985540390014602,105.79894256591801,0.0,1900000000.0,1864116441.5
234,100.6,2.0,2.0,21.0,21.014173507690398,105.77587127685499,0.0,4200000000.0,3093979441.5
235,107.0,3.0,2.0,93.0,20.9798679351807,105.74391937255899,1.0,1670000000.0,1072811285.5
236,86.0,2.0,2.0,67.0,21.0639667510986,105.805503845215,1.0,3100000000.0,3535195125.5
237,84.0,1.0,2.0,734.0,21.0115528106689,105.849258422852,1.0,6600000000.0,5461404817.5
238,119.0,3.0,2.0,734.0,21.0365676879883,105.760482788086,1.0,4300000000.0,4397480029.5
239,55.0,2.0,1.0,1.0,21.00241470336914,105.964111328125,1.0,1500000000.0,1505782801.5
240,60.0,2.0,1.0,40.0,21.004817962646502,105.804672241211,1.0,2100000000.0,1685716333.5
241,97.0,3.0,2.0,22.0,21.0044555664063,105.802528381348,0.0,3500000000.0,3371904505.5
242,115.0,2.0,2.0,178.0,21.0194931030273,105.82234191894501,0.0,5200000000.0,6351785653.5
243,49.0,1.0,1.0,38.0,20.9733200073242,105.778282165527,0.0,1300000000.0,1101468417.5
244,56.2,2.0,2.0,44.0,20.9732913970947,105.82000732421899,1.0,1000000000.0,1312404585.5
245,81.0,3.0,2.0,45.0,20.985540390014602,105.79894256591801,0.0,2350000000.0,2415060289.5
246,57.6,2.0,2.0,83.0,20.9646949768066,105.82510375976601,1.0,1580000000.0,1229076797.5
247,153.0,4.0,2.0,67.0,21.072135925293,105.810997009277,1.0,4200000000.0,5132431833.5
248,83.0,2.0,2.0,58.0,21.053024291992198,105.798637390137,0.0,3200000000.0,3266734525.5
249,56.17,2.0,2.0,1.0,21.035680770874,105.771202087402,1.0,1800000000.0,1895394353.5
250,68.0,2.0,2.0,59.0,20.987026214599602,105.786834716797,1.0,2400000000.0,1837537745.5
251,105.0,2.0,2.0,58.0,20.997516632080103,105.795166015625,1.0,2300000000.0,3633380993.5
252,68.0,2.0,2.0,4.0,20.9638347625732,105.822456359863,1.0,1560000000.0,1698686453.5
253,78.0,2.0,1.0,21.0,21.008365631103498,105.802909851074,0.0,2050000000.0,2724379193.5
254,68.0,2.0,2.0,32.0,21.0209789276123,105.791061401367,0.0,2300000000.0,2383567329.5
255,63.0,2.0,2.0,78.0,21.081007003784197,105.81809234619101,1.0,2700000000.0,2430627813.5
256,107.0,3.0,2.0,23.0,21.0555438995361,105.805130004883,1.0,4600000000.0,3887553505.5
257,130.0,3.0,2.0,1.0,20.9540576934814,105.740982055664,1.0,1500000000.0,-1229489014.5
258,69.8,2.0,2.0,11.0,20.9785938262939,105.835342407227,1.0,1740000000.0,2008741889.5
259,53.0,1.0,1.0,734.0,20.9947910308838,105.86784362792999,1.0,1900000000.0,2510834001.5
260,141.0,3.0,2.0,4.0,20.979290008544897,105.78546142578101,0.0,3800000000.0,2923532865.5
261,61.5,2.0,2.0,123.0,20.9635620117188,105.831611633301,1.0,1280000000.0,1331102417.5
262,61.5,2.0,2.0,123.0,20.9635620117188,105.831611633301,0.0,1520000000.0,1646441309.5
263,77.84,2.0,2.0,20.0,21.0577354431152,105.91335296630899,1.0,2500000000.0,1852720377.5
264,73.0,3.0,2.0,144.0,21.0919170379639,105.78500366210899,1.0,3100000000.0,3806646185.5
265,74.0,2.0,2.0,45.0,20.9824485778809,105.782279968262,0.0,2240000000.0,1905675665.5
266,96.5,3.0,2.0,16.0,20.985431671142603,105.839340209961,1.0,2900000000.0,3119475817.5
267,150.0,3.0,3.0,144.0,21.083890914917,105.80847930908199,0.0,5500000000.0,7635292509.5
268,80.7,2.0,2.0,54.0,20.9972763061523,105.80298614502001,0.0,3100000000.0,2680748561.5
