Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,ViDo,KinhDo,LoaiTin
4200000000.0,117.0,3,2,4,3,0,366,21.0919170379639,105.78500366210899,3
3800000000.0,153.0,4,2,7,6,1,92,21.072135925293,105.810997009277,3
1900000000.0,85.0,2,2,7,6,1,39,21.0341358184814,105.764106750488,3
2300000000.0,86.0,3,2,4,3,1,24,21.035062789917,105.74966430664101,3
1776000000.0,79.2,2,2,4,3,0,75,20.9605541229248,105.845962524414,3
1400000000.0,25.5,1,2,4,3,0,1,20.9919490814209,105.940048217773,3
1790000000.0,70.0,2,2,5,6,1,1,20.99167709089255,105.94437026977538,3
1400000000.0,63.7,2,2,5,8,1,1,20.938102722168,105.852249145508,3
5500000000.0,116.0,3,2,5,8,0,366,21.0919170379639,105.78500366210899,3
5600000000.0,153.0,4,4,5,8,0,92,21.072135925293,105.810997009277,3
2600000000.0,75.0,2,2,5,8,0,1403,20.9947910308838,105.86784362792999,3
3500000000.0,145.0,3,2,8,5,0,92,21.072135925293,105.810997009277,3
4000000000.0,56.0,1,2,8,5,0,1,21.033269882202106,105.816703796387,3
2100000000.0,90.0,3,2,7,6,1,67,20.9733200073242,105.778282165527,3
3900000000.0,133.0,3,2,8,6,1,1,21.0292072296143,105.764450073242,3
2600000000.0,65.64,2,2,5,8,1,1403,21.0201683044434,105.78075408935499,3
3100000000.0,83.0,2,2,5,8,1,84,21.0371532440186,105.786338806152,3
2200000000.0,88.0,3,2,5,8,0,1,20.956588745117198,105.844886779785,3
1900000000.0,38.0,1,2,5,8,1,285,21.069709777832,105.811210632324,3
5300000000.0,80.0,2,2,5,8,0,1,21.0317993164063,105.814193725586,3
2700000000.0,74.83,2,2,5,8,0,61,20.9984378814697,105.866737365723,3
2900000000.0,90.0,2,2,4,6,1,1403,20.9947910308838,105.86784362792999,3
2500000000.0,72.0,2,2,4,3,1,286,21.0495662689209,105.778594970703,3
1150000000.0,63.0,2,2,4,3,1,447,20.963314056396502,105.82673645019501,3
1550000000.0,62.3,2,2,4,3,0,40,21.0345783233643,105.76812744140601,3
1500000000.0,38.0,1,1,7,6,1,285,21.0058059692383,105.79437255859399,3
900000000.0,63.0,2,2,7,6,1,106,20.991436004638697,105.756065368652,3
4500000000.0,88.0,2,2,7,6,1,1,21.0099925994873,105.773422241211,3
3600000000.0,87.97,3,2,7,6,1,61,20.9984378814697,105.866737365723,3
3200000000.0,76.0,2,2,7,6,0,1403,20.994333267211896,105.86756134033199,3
3700000000.0,107.0,2,2,7,6,1,1403,21.01176532142601,105.78645062446604,3
1900000000.0,70.0,2,2,7,6,1,286,21.0495662689209,105.778594970703,3
2800000000.0,90.0,3,2,4,6,1,286,21.0495662689209,105.778594970703,3
3600000000.0,71.1,2,2,2,1,1,113,21.0277194976807,105.78589630127001,3
2950000000.0,82.0,2,2,4,3,1,1403,20.9947910308838,105.86784362792999,3
4800000000.0,86.5,2,2,6,7,1,1403,21.0229530334473,105.809814453125,3
2899000000.0,87.0,3,2,2,1,1,29,21.0505809783936,105.79224395752001,3
1600000000.0,60.0,2,1,3,7,1,1,21.044106,105.81011640000001,3
2400000000.0,59.8,1,1,3,4,1,153,21.0433597564697,105.81848907470699,3
5400000000.0,88.0,2,2,3,4,1,285,21.064899444580103,105.827049255371,3
5000000000.0,146.0,4,3,3,4,1,1403,21.0365676879883,105.760482788086,3
6500000000.0,146.0,3,3,3,4,1,285,21.064899444580103,105.827049255371,3
1850000000.0,53.0,1,2,3,4,0,1403,20.994333267211896,105.86756134033199,3
3040000000.0,89.0,3,2,3,4,1,286,21.0495662689209,105.778594970703,3
3290000000.0,84.0,3,2,3,4,1,151,21.081007003784197,105.81809234619101,3
4500000000.0,88.0,2,2,3,4,0,1,21.0099925994873,105.773422241211,3
4320000000.0,120.0,3,2,7,6,0,12,21.005578994751,105.803749084473,3
2300000000.0,58.0,2,2,7,6,1,61,20.9984378814697,105.866737365723,3
2930000000.0,83.9,3,2,7,6,1,5,21.014835357665998,105.81726837158199,3
13900000000.0,146.19,4,3,7,6,1,1,21.0317993164063,105.814193725586,3
3600000000.0,206.0,5,3,2,6,1,1,20.9887758,105.81068370000001,3
1800000000.0,70.0,2,2,8,5,1,1,21.0024147033691,105.964111328125,3
