Giá,Diện tích,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công,Nội thất,Chủ đầu tư,Vĩ độ,Kinh độ
5000000000.0,78.42,2,2,7,6,0,1399,21.0317993164063,105.814193725586
1400000000.0,38.0,1,1,7,6,1,358,21.0058059692383,105.79437255859399
1850000000.0,59.0,2,2,3,4,0,10,21.0402507781982,105.791084289551
2700000000.0,70.0,2,2,5,8,1,1399,20.998958587646502,105.788032531738
2090000000.0,62.0,2,2,5,8,1,1,20.9739685058594,105.82169342041
2950000000.0,94.0,3,2,5,8,1,263,20.996685028076197,105.873847961426
3000000000.0,68.0,2,2,5,8,0,1399,21.0190830230713,105.78173065185499
3800000000.0,104.0,3,3,5,8,1,35,21.012432098388697,105.76739501953101
3200000000.0,78.0,2,2,5,8,0,1399,21.0190830230713,105.78173065185499
5100000000.0,101.0,2,2,6,7,1,11,21.055467605590803,105.795883178711
3300000000.0,110.0,3,2,6,7,1,1,20.9947719573975,105.80612945556601
1450000000.0,89.0,3,2,5,8,1,15,20.961841583252,105.79552459716801
3500000000.0,71.5,2,2,5,8,1,59,21.0277194976807,105.78589630127001
1250000000.0,65.0,2,2,5,8,1,214,21.0083923339844,105.73024749755899
1900000000.0,76.0,2,2,8,5,1,149,21.0295810699463,105.850410461426
1800000000.0,100.0,3,2,8,5,1,30,21.0096874237061,105.72159576416
2300000000.0,77.4,2,2,6,7,1,77,20.985540390014602,105.79894256591801
2350000000.0,81.0,2,2,6,7,0,37,21.0304050445557,105.777030944824
1920000000.0,64.71,2,1,3,4,0,4,21.0324401855469,105.778594970703
2400000000.0,76.3,2,2,5,8,1,182,21.0508708953857,105.78612518310499
1190000000.0,78.0,2,2,1,8,1,17,20.959997177124,105.798553466797
1150000000.0,68.0,2,2,8,6,1,272,20.962467193603498,105.79236602783199
1200000000.0,68.0,2,2,5,6,1,272,20.962467193603498,105.79236602783199
2200000000.0,71.2,2,2,6,7,0,98,20.9962978363037,105.805633544922
3850000000.0,92.0,3,2,6,7,1,1399,20.998958587646502,105.788032531738
1450000000.0,38.0,2,2,7,6,0,358,21.0058059692383,105.79437255859399
2250000000.0,90.0,2,2,7,6,0,106,20.9865188598633,105.78639984130899
1790000000.0,59.2,2,2,8,5,0,1,20.9947719573975,105.80612945556601
2500000000.0,65.0,3,1,8,5,0,1,21.005802600000006,105.85490490000001
3100000000.0,85.67,2,2,8,5,1,133,21.0639667510986,105.805503845215
2500000000.0,56.0,2,2,8,5,0,1399,20.998958587646502,105.788032531738
2400000000.0,70.0,2,2,8,5,0,113,21.0160980224609,105.79248809814501
3450000000.0,133.0,3,2,6,7,0,1,21.047119140625,105.78136444091801
4500000000.0,84.0,2,2,3,4,1,3,21.0000820159912,105.82803344726601
1900000000.0,51.0,2,1,7,6,1,358,21.0058059692383,105.79437255859399
2100000000.0,92.0,3,2,7,6,1,20,21.0919170379639,105.78500366210899
2100000000.0,62.0,2,2,7,6,1,1,20.9739685058594,105.82169342041
1450000000.0,79.3,3,2,6,7,0,175,20.97145652771,105.828170776367
1650000000.0,70.0,2,2,1,2,1,1,20.983491897583,105.85003662109399
1400000000.0,38.0,2,2,1,2,0,358,21.0058059692383,105.79437255859399
1200000000.0,67.0,2,2,8,5,1,272,20.963314056396502,105.82673645019501
880000000.0,48.0,2,1,7,6,1,1,20.9986278,105.8604904
1800000000.0,70.0,2,2,7,6,1,1,21.0024147033691,105.964111328125
820000000.0,74.0,2,2,6,7,0,19,20.9397029876709,105.787254333496
2100000000.0,117.0,3,2,6,6,1,35,20.9762554168701,105.762649536133
3100000000.0,103.0,3,2,6,7,1,1,21.0292072296143,105.764450073242
3600000000.0,126.0,3,2,6,7,0,175,20.979644775390625,105.79234313964844
4800000000.0,110.0,3,2,5,8,1,33,21.0360012054443,105.78246307372999
2900000000.0,132.0,3,3,5,8,0,106,20.9865188598633,105.78639984130899
16000000000.0,145.0,3,3,5,8,0,263,21.083890914916992,105.80847930908205
2900000000.0,107.0,3,2,6,7,1,68,20.9824485778809,105.782279968262
1650000000.0,94.1,3,2,5,7,0,118,20.9760246276855,105.761596679688
2900000000.0,99.9,3,2,3,4,0,41,20.9797115325928,105.844833374023
3529000000.0,112.9,3,2,2,3,1,60,21.0371532440186,105.786338806152
6600000000.0,146.0,3,3,7,6,1,358,21.064899444580103,105.827049255371
6200000000.0,96.24,2,2,4,3,1,11,21.055467605590803,105.795883178711
1700000000.0,76.34,3,2,4,3,1,1,20.958904266357397,105.838180541992
5350000000.0,109.0,3,2,4,3,1,119,21.053024291992198,105.798637390137
1630000000.0,76.0,3,2,4,3,1,1,20.958904266357425,105.8381805419922
2500000000.0,73.0,2,2,4,3,0,1,20.9999027252197,105.80218505859399
2500000000.0,66.0,2,2,7,6,1,106,20.9972763061523,105.80298614502001
2950000000.0,85.0,3,2,5,8,1,71,20.9906997680664,105.814277648926
1860000000.0,79.2,2,2,6,8,1,60,20.9605541229248,105.845962524414
4350000000.0,94.0,3,2,6,7,1,1,21.0086898803711,105.820510864258
1400000000.0,72.0,2,2,6,7,0,214,21.002981185913104,105.732055664063
920000000.0,56.0,2,2,6,7,1,82,20.9732913970947,105.82000732421899
1400000000.0,73.0,2,2,5,8,1,118,20.9760246276855,105.761596679688
3500000000.0,132.9,3,2,5,8,1,1,21.0292072296143,105.764450073242
5300000000.0,148.0,4,2,6,7,1,133,21.0639667510986,105.805503845215
3400000000.0,118.0,3,2,3,4,1,17,21.0119361877441,105.77499389648399
6150000000.0,110.0,3,2,3,4,1,11,21.055467605590803,105.795883178711
3150000000.0,103.0,3,2,6,5,1,36,20.9981651306152,105.80150604247999
770000000.0,54.0,1,1,6,7,1,272,20.962467193603498,105.79236602783199
2100000000.0,125.0,3,2,6,7,0,182,21.050373077392603,105.784843444824
2400000000.0,72.0,2,2,7,6,1,106,20.987026214599602,105.786834716797
1560000000.0,58.9,2,1,6,7,0,1399,21.0065288543701,105.753555297852
2150000000.0,30.0,2,2,6,7,0,1,21.02334886389589,105.83639491427401
4200000000.0,92.0,3,2,6,7,0,1399,21.0461521148682,105.915649414063
1900000000.0,76.0,2,2,6,7,1,20,20.9894237518311,105.866561889648
3100000000.0,96.0,3,2,7,6,1,98,20.9962978363037,105.805633544922
6200000000.0,128.0,3,2,1,7,1,1,21.0270671844482,105.817451477051
985000000.0,28.0,2,2,5,8,1,1399,20.998958587646502,105.788032531738
1850000000.0,43.0,1,1,6,7,1,1399,20.998958587646502,105.788032531738
4000000000.0,97.1,3,2,7,6,1,106,20.9972763061523,105.80298614502001
5700000000.0,76.41,2,2,8,5,1,1399,21.0317993164063,105.814193725586
1300000000.0,70.0,2,2,6,8,1,25,20.954955761421896,105.791135787964
2300000000.0,72.0,2,2,8,5,1,106,20.987026214599602,105.786834716797
2460000000.0,96.69,3,2,7,6,1,113,20.972412109375,105.761528015137
3600000000.0,100.0,3,2,6,7,1,106,20.987026214599602,105.786834716797
1800000000.0,72.0,2,2,6,7,0,28,21.022161483764602,105.771797180176
1550000000.0,69.0,2,2,6,7,1,1,20.9561653137207,105.843521118164
3400000000.0,130.0,2,2,7,6,1,98,20.9702835083008,105.87171173095699
2060000000.0,65.0,2,2,7,6,1,1399,21.0065288543701,105.753555297852
3500000000.0,110.0,3,2,7,6,0,1,21.022161483764602,105.771797180176
2500000000.0,81.0,2,2,7,6,0,1,21.022161483764602,105.771797180176
3100000000.0,93.6,3,2,7,6,1,133,21.014102935790998,105.801788330078
2600000000.0,93.2,2,2,8,5,0,1,21.0004196166992,105.803436279297
1700000000.0,52.6,2,2,6,7,1,32,21.035120010376,105.767433166504
5500000000.0,181.0,3,3,1,3,1,5,21.0300445556641,105.776626586914
4000000000.0,103.4,3,2,3,4,1,263,21.0293405222653,105.778981685639
1300000000.0,78.4,3,2,4,3,1,175,20.9562702178955,105.84504699707001
1320000000.0,45.0,2,1,4,3,1,1,21.002775500000002,105.8563287
2000000000.0,60.0,2,2,4,3,0,1,20.9848365783691,105.85985565185499
2050000000.0,64.0,2,2,4,3,1,1399,21.0065288543701,105.753555297852
2300000000.0,100.0,3,2,7,6,1,34,20.973667144775398,105.75871276855499
2200000000.0,74.0,2,2,6,7,1,182,20.9830436706543,105.757339477539
1800000000.0,78.0,2,2,6,7,0,32,20.97843933105469,105.77264404296899
2600000000.0,76.0,3,2,6,7,1,1399,21.0065288543701,105.753555297852
2300000000.0,69.9,2,2,7,6,1,54,21.0209789276123,105.791061401367
2350000000.0,70.5,2,2,3,4,0,11,21.0680141448975,105.797080993652
8860000000.0,110.6,3,2,3,4,0,1,21.0337815,105.8140539
3400000000.0,88.0,2,2,8,5,1,358,21.069709777832,105.811210632324
960000000.0,29.9,2,2,7,6,0,1399,20.998958587646502,105.788032531738
2100000000.0,99.6,2,2,7,6,1,34,20.973667144775398,105.75871276855499
1800000000.0,65.0,2,2,7,6,1,46,21.0523986816406,105.78018188476601
2030000000.0,76.0,2,2,7,6,0,149,21.0295810699463,105.850410461426
1500000000.0,65.0,2,2,7,6,1,1,20.96728515625,105.778175354004
3000000000.0,75.0,2,2,7,6,1,54,21.0209789276123,105.791061401367
970000000.0,61.2,2,2,2,1,1,17,20.959997177124,105.798553466797
4200000000.0,93.0,2,2,2,1,1,33,21.0360012054443,105.78246307372999
1400000000.0,66.7,2,2,2,1,1,1,20.968147100000003,105.7549524
1950000000.0,102.8,3,3,6,5,1,118,20.9760246276855,105.761596679688
2150000000.0,75.0,2,2,5,3,0,3,21.034620285034197,105.79354095459
1000000000.0,49.5,2,1,8,5,1,50,20.9939575195313,105.78890991210899
700000000.0,45.0,2,1,8,5,1,1,21.0657853,105.7917504
2300000000.0,165.0,3,3,8,5,1,35,20.9762554168701,105.762649536133
1300000000.0,43.0,1,1,7,6,1,1399,21.0065288543701,105.753555297852
900000000.0,40.0,2,2,2,6,0,1,21.0798377990723,105.78685760497999
2800000000.0,75.0,2,2,6,8,0,106,20.9972763061523,105.80298614502001
1320000000.0,62.0,2,2,5,8,1,3,20.9319801330566,105.850410461426
22000000000.0,330.0,5,4,5,8,1,1399,21.0190830230713,105.78173065185499
630000000.0,52.0,2,1,5,8,0,8,20.9264602661133,105.71282958984399
2000000000.0,67.0,2,2,5,8,0,17,20.973217010498,105.778854370117
2170000000.0,69.0,2,2,8,5,1,1,21.0646114349365,105.911117553711
3300000000.0,76.0,2,2,8,5,1,358,21.069709777832,105.811210632324
1700000000.0,106.0,2,2,8,5,0,98,20.9687538146973,105.79210662841801
2600000000.0,76.0,2,2,8,5,1,106,20.987026214599602,105.786834716797
2800000000.0,137.0,3,2,7,8,1,106,20.9865188598633,105.78639984130899
3200000000.0,117.0,3,2,7,6,1,106,20.987026214599602,105.786834716797
2536000000.0,63.4,2,2,6,7,0,77,21.004817962646502,105.804672241211
3600000000.0,91.0,3,2,6,7,0,26,21.0519065856934,105.80905914306601
4600000000.0,110.0,3,2,7,6,0,358,21.0058059692383,105.79437255859399
3400000000.0,87.3,3,2,8,5,1,33,21.0371780395508,105.87306976318399
1000000000.0,68.0,2,2,1,7,1,272,20.9671459197998,105.83313751220699
3650000000.0,126.0,4,2,6,7,1,175,20.9796447753906,105.792343139648
1500000000.0,85.0,3,2,8,5,0,50,20.9939575195313,105.78890991210899
1450000000.0,50.0,2,1,8,5,1,1,21.0255158,105.8275913
1900000000.0,75.0,2,1,7,6,0,182,20.9830436706543,105.757339477539
1800000000.0,102.8,3,2,6,5,1,118,20.9760246276855,105.761596679688
980000000.0,58.0,2,1,6,7,1,50,20.9939575195313,105.78890991210899
1400000000.0,73.0,2,2,5,8,1,118,20.9760246276855,105.761596679688
3650000000.0,110.0,2,2,4,3,1,1399,21.002666473388697,105.8154296875
1400000000.0,73.0,3,2,7,8,1,118,20.972354888915998,105.75798034667999
3400000000.0,76.53,2,2,6,7,0,5,20.9959945678711,105.86126708984399
2900000000.0,95.0,3,2,7,6,0,98,20.9698810577393,105.871681213379
1700000000.0,88.0,3,2,7,6,1,118,20.9760246276855,105.761596679688
1840000000.0,66.0,2,2,7,6,1,1,21.0292072296143,105.764450073242
5800000000.0,132.0,3,3,7,6,1,1399,21.002666473388697,105.8154296875
2900000000.0,114.0,3,2,6,7,1,68,20.9824485778809,105.782279968262
3000000000.0,110.0,3,2,6,7,1,1,21.022161483764602,105.771797180176
1550000000.0,71.6,2,2,8,5,1,214,21.002981185913104,105.732055664063
870000000.0,64.0,2,2,6,7,1,272,20.962467193603498,105.79236602783199
2400000000.0,58.0,2,2,6,7,1,146,21.081007003784197,105.81809234619101
2700000000.0,57.49,2,2,6,7,1,146,21.081007003784197,105.81809234619101
1470000000.0,70.0,3,2,7,5,1,94,20.9834575653076,105.78564453125
2750000000.0,70.0,2,2,7,6,1,1399,20.998958587646502,105.788032531738
2050000000.0,72.96,2,2,7,6,1,32,20.9769667252095,105.775594472885
3200000000.0,65.73,1,2,5,8,1,9,21.0640926361084,105.80973815917999
3400000000.0,93.6,3,2,3,4,1,146,21.0833294878293,105.81114006042401
1230000000.0,56.46,2,1,6,4,1,1,20.958904266357397,105.838180541992
725000000.0,44.0,2,2,7,6,1,14,21.06287956237789,105.722236633301
1840000000.0,66.0,2,2,7,6,0,1,21.0292072296143,105.764450073242
2100000000.0,75.58,2,2,7,6,1,1,20.9739685058594,105.82169342041
4800000000.0,85.0,3,1,6,6,0,175,21.0626907348633,105.90833282470699
1650000000.0,67.0,2,2,5,8,1,7,20.9993877410889,105.807266235352
2699000000.0,72.8,2,2,5,8,1,1,20.9947719573975,105.80612945556601
3300000000.0,72.5,2,2,7,6,1,36,20.9981651306152,105.80150604247999
1400000000.0,73.3,2,1,7,6,1,45,21.0374660491943,105.907508850098
2900000000.0,95.0,3,2,5,6,0,98,20.965379714965803,105.850639343262
3400000000.0,74.0,2,2,5,8,0,62,21.0555438995361,105.805130004883
2100000000.0,70.0,2,2,5,8,0,1,21.028341293335,105.768539428711
3290000000.0,83.0,2,2,4,1,1,119,21.053024291992198,105.798637390137
4000000000.0,132.0,2,3,4,3,0,1399,21.0461521148682,105.915649414063
2420000000.0,86.0,2,2,4,3,1,1,21.022161483764602,105.771797180176
7000000000.0,160.0,4,2,4,3,1,1399,20.9947910308838,105.86784362792999
3600000000.0,118.0,3,2,4,3,1,1399,20.9947910308838,105.86784362792999
4300000000.0,122.0,3,2,4,3,1,1399,20.994333267211896,105.86756134033199
4400000000.0,120.0,3,2,4,3,1,1399,20.994333267211896,105.86756134033199
3400000000.0,110.0,3,2,4,3,1,1399,20.9947910308838,105.86784362792999
