Giá,Diện tích,Số phòng ngủ,Số toilet,Chủ đầu tư
1300000000.0,73.0,3,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
3100000000.0,70.5,2,2,Công ty CP Đầu tư Xây dựng Phát triển nhà số 7 Hà Nội 
2500000000.0,81.6,2,2,
2750000000.0,64.0,2,2,Công ty CP Đại Việt Trí Tuệ
2500000000.0,81.0,2,2,
1800000000.0,66.8,2,2,Công ty CP Ngôi sao An Bình
1500000000.0,72.0,2,1,Công ty TSQ Việt Nam
2170000000.0,119.0,3,2,
820000000.0,45.0,1,1,Xí nghiệp Xây dựng Tư nhân Số 1 Lai Châu
2000000000.0,69.0,2,2,
2300000000.0,80.0,2,2,
950000000.0,63.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
2350000000.0,72.0,2,2,Tập đoàn CapitaLand
2350000000.0,70.5,2,2,Tổng công ty 789 
3000000000.0,111.0,2,2,Tổng công ty CP Xuất nhập khẩu và Xây dựng Việt Nam
650000000.0,40.0,1,1,
1330000000.0,62.0,2,2,Công ty CP Đầu tư và Xây dựng Xuân Mai
1500000000.0,85.0,3,2,Công ty CP Đầu tư và Xây dựng Xuân Mai
2600000000.0,61.0,3,2,Công ty CP Đầu tư Phú Thượng 
1020000000.0,63.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
1500000000.0,73.0,2,2,Công ty CP Bất động sản Hải Phát
1150000000.0,68.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
2600000000.0,60.74,2,1,Công ty CP Đầu tư Phú Thượng 
1200000000.0,84.0,2,1,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
1360000000.0,69.19,2,2,
2300000000.0,66.0,2,1,Tập đoàn Vingroup
5500000000.0,80.0,2,2,Tập đoàn Vingroup
3400000000.0,99.25,3,2,
1550000000.0,72.0,2,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
2200000000.0,63.0,2,2,Tổng Công ty Viglacera
4200000000.0,86.0,2,2,
606000000.0,49.0,2,1,Công ty CP Lộc Ninh
1700000000.0,76.34,3,2,
2500000000.0,82.0,2,2,
4550000000.0,150.0,3,2,Công ty CP Đầu tư và Phát triển Hòa Bình - HBI
828000000.0,33.0,1,1,Tập đoàn Vingroup
1400000000.0,69.0,2,2,
4800000000.0,110.0,3,2,Công ty TNHH Indochina Land
2050000000.0,94.52,3,2,Công ty CP Đầu tư Hải Phát Thủ Đô
1160000000.0,84.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
1520000000.0,94.0,2,2,Công ty CP Sông Đà Thăng Long
3050000000.0,65.0,2,2,Tập đoàn Vingroup
930000000.0,63.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
3300000000.0,71.5,2,2,Tổng công ty Xây dựng Thanh Hóa - Công ty Cổ phần
3100000000.0,84.0,2,2,Tổng công ty Đầu tư Phát triển Hạ tầng đô thị - UDIC
1300000000.0,69.19,2,2,
1800000000.0,76.0,2,2,Công ty CP Đầu tư Xây dựng Hạ tầng và Giao Thông
1480000000.0,58.21,2,2,Công ty CP Đầu tư Hải Phát Thủ Đô
1300000000.0,67.41,2,2,
1400000000.0,72.0,2,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
2550000000.0,88.4,2,1,Công ty CP Vimeco
960000000.0,72.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
2420000000.0,82.0,2,2,
1840000000.0,66.0,2,2,
2900000000.0,110.58,3,2,Công ty CP Đầu tư và Thương mại Thăng Long
9000000000.0,146.0,3,3,Tân Hoàng Minh Group
3650000000.0,112.0,3,2,
1200000000.0,68.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
1700000000.0,53.0,2,1,Công ty TNHH Gamuda Land Việt Nam
2118000000.0,79.0,2,2,Công ty TNHH Gamuda Land Việt Nam
3300000000.0,89.0,3,2,Công ty CP Đầu tư Phú Thượng 
4200000000.0,139.0,4,2,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân
5400000000.0,88.0,2,2,Tân Hoàng Minh Group
1190000000.0,45.0,1,1,
820000000.0,74.0,2,2,Tập đoàn Mường Thanh
2800000000.0,76.0,3,2,
1620000000.0,55.0,2,1,
1950000000.0,66.8,2,2,Công ty CP Ngôi sao An Bình
2150000000.0,92.0,3,2,Công ty CP Đầu tư Bất động sản Đông Đô - BQP
1000000000.0,65.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
5000000000.0,100.0,3,2,Tân Hoàng Minh Group
3700000000.0,93.0,2,2,Tập đoàn Vingroup
3389000000.0,108.0,3,2,Công ty CP Tập đoàn Sunshine
4500000000.0,132.0,3,3,Tập đoàn Vingroup
900000000.0,61.2,2,1,Công ty TNHH Khải Hưng
2450000000.0,69.0,2,2,Công ty CP Đầu tư Văn Phú - Invest
2900000000.0,70.01,2,2,Công ty CP Đầu tư Văn Phú - Invest
2300000000.0,73.0,2,2,Công ty CP Tập đoàn Nam Cường Hà Nội
2200000000.0,83.0,2,2,Công ty CP Sông Đà 7
